Stevilka igralca,Igralec,Pozicija,ID ekipe,FG,FGA,Skoki,Asistence,Ukradene žoge,Blokade,Izgubljene žoge,Tocke
217,Tyler Herro,SG,MIA,5.7,12.9,5.0,3.4,0.6,0.3,1.9,15.1
218,Buddy Hield,SG,SAC,5.7,14.0,4.7,3.6,0.9,0.4,1.8,16.6
219,George Hill,PG,OKC,4.4,8.6,2.1,3.1,0.9,0.1,0.9,11.8
219,George Hill,PG,PHI,2.1,4.8,2.0,1.9,0.7,0.2,1.2,6.0
220,Solomon Hill,PF,ATL,1.5,4.2,3.0,1.1,0.7,0.2,0.6,4.5
221,Nate Hinton,SG,DAL,0.7,2.0,0.4,0.4,0.3,0.1,0.2,2.0
222,Jaylen Hoard,SF,OKC,2.3,4.6,3.4,1.3,0.7,0.3,0.9,6.1
223,Aaron Holiday,PG,IND,2.6,6.6,1.3,1.9,0.7,0.2,1.0,7.2
224,Jrue Holiday,PG,MIL,7.0,13.9,4.5,6.1,1.6,0.6,2.2,17.7
225,Justin Holiday,SG,IND,3.6,8.7,3.6,1.7,1.0,0.6,0.8,10.5
226,Rondae Hollis-Jefferson,PF,POR,0.8,1.6,2.4,1.2,0.2,0.4,0.2,2.5
227,Richaun Holmes,C,SAC,6.0,9.4,8.3,1.7,0.6,1.6,1.2,14.2
228,Rodney Hood,SF,POR,1.9,5.3,1.9,1.2,0.5,0.1,0.8,4.7
228,Rodney Hood,SF,TOR,1.2,3.5,1.8,0.4,0.2,0.2,0.3,3.9
229,Al Horford,C,OKC,5.8,12.9,6.7,3.4,0.9,0.9,1.0,14.2
230,Talen Horton-Tucker,SG,LAL,3.4,7.5,2.6,2.8,1.0,0.3,1.6,9.0
231,Danuel House,SF,HOU,3.1,7.6,3.7,1.9,0.6,0.4,1.0,8.8
232,Dwight Howard,C,PHI,2.6,4.4,8.4,0.9,0.4,0.9,1.6,7.0
233,Markus Howard,SG,DEN,1.1,2.9,0.6,0.5,0.1,0.0,0.5,2.8
234,Kevin Huerter,SG,ATL,4.6,10.6,3.3,3.5,1.2,0.3,1.1,11.9
235,Elijah Hughes,SF,UTA,0.6,1.7,0.5,0.3,0.1,0.1,0.3,1.7
